사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2024-05,2호선,0224,서초,5,0,"2,332","5,183","9,686","23,481","19,971","55,627","30,732","114,480","29,236","90,336","23,129","43,807","30,126","34,406","28,693","25,927","35,979","28,138","36,595","26,541","43,132","22,483","48,671","23,297","74,915","26,611","92,989","28,014","43,447","19,399","30,441","12,658","31,575","12,210","18,816","12,018","6,531","6,477","1,195","1,778",1,2,1,1,0,0,2024-06-03 09:43:48
2024-05,2호선,0225,방배,8,2,"2,786","3,073","9,571","12,288","22,956","29,376","32,073","77,568","25,661","57,397","20,956","34,993","21,851","27,964","24,620","29,888","27,235","27,075","31,068","26,865","33,732","25,435","42,288","26,412","51,975","33,431","65,698","38,048","30,485","25,424","24,502","17,904","24,068","16,549","20,947","16,934","8,248","10,151","1,740","3,126",0,5,0,0,0,0,2024-06-03 09:43:48
2024-05,2호선,0226,사당,71,3,"13,513","4,189","32,419","38,437","82,814","52,926","105,120","74,219","81,024","55,465","55,818","48,910","49,942","57,940","57,455","57,861","59,636","55,844","62,978","57,334","65,125","67,723","68,973","88,007","82,934","129,210","101,965","178,947","71,751","115,504","68,414","75,534","74,230","72,456","69,739","69,513","38,810","43,164","6,778","13,534",6,782,0,0,0,0,2024-06-03 09:43:48
2024-05,2호선,0227,낙성대(강감찬),42,4,"12,621","2,543","28,924","10,916","85,453","22,946","124,639","45,614","83,334","36,172","47,418","31,113","41,624","27,399","43,971","29,634","44,353","31,573","39,610","34,401","39,954","39,579","43,438","46,374","49,295","65,127","53,965","102,697","32,340","82,919","25,943","58,024","24,351","55,654","18,227","56,268","9,860","35,243","1,771","10,428",4,125,0,0,0,0,2024-06-03 09:43:48
2024-05,2호선,0228,서울대입구(관악구청),"4,945",38,"29,040","2,548","46,529","16,215","128,496","30,636","173,545","71,819","118,409","64,113","73,117","56,855","64,204","49,727","71,364","54,209","73,683","58,722","66,224","61,203","70,889","69,211","77,630","81,512","88,770","112,165","94,818","175,010","58,208","133,988","51,968","88,698","52,650","85,653","46,641","84,701","26,223","52,271","4,841","19,961",0,"3,956",0,0,0,0,2024-06-03 09:43:48
2024-05,2호선,0229,봉천,80,0,"16,946","1,959","31,095","8,411","86,155","14,664","122,288","29,463","76,941","22,360","44,896","20,093","37,659","22,453","40,473","25,770","38,395","28,027","32,318","30,839","32,075","38,844","34,171","45,814","32,618","60,754","32,728","90,241","21,259","72,663","18,438","47,653","15,425","46,018","11,383","42,421","4,973","26,114",902,"8,923",2,254,0,0,0,0,2024-06-03 09:43:48
2024-05,2호선,0230,신림,217,5,"39,624","4,285","72,112","18,451","184,578","29,861","265,768","45,932","167,518","44,719","97,020","43,989","81,207","47,047","84,647","51,877","81,069","61,561","73,246","66,173","70,981","83,834","75,729","102,450","80,166","137,907","80,538","219,391","55,803","183,529","47,809","123,872","44,869","123,630","37,752","115,187","22,235","74,882","4,587","24,826",0,176,0,0,0,0,2024-06-03 09:43:48
2024-05,2호선,0231,신대방,206,8,"27,105","2,162","36,891","10,465","91,360","15,628","133,683","26,015","86,268","19,869","50,304","19,384","40,423","20,882","40,474","24,022","38,061","28,984","32,323","31,998","31,409","42,597","33,682","49,907","34,567","65,308","33,305","95,649","22,559","79,318","18,205","58,111","14,006","62,298","11,016","58,077","5,468","33,759","1,126","10,494",10,151,0,0,0,0,2024-06-03 09:43:48
2024-05,2호선,0232,구로디지털단지,333,27,"41,646","4,979","54,995","20,727","142,967","82,687","188,177","217,715","119,858","132,947","75,230","58,121","67,216","47,320","72,779","51,523","71,832","65,060","65,378","62,427","69,872","71,791","83,392","86,330","135,542","112,688","196,325","164,125","97,690","129,426","63,890","90,165","53,391","89,342","41,986","86,427","19,659","52,308","3,614","16,500",6,369,0,0,0,0,2024-06-03 09:43:48
2024-05,2호선,0233,대림(구로구청),754,15,"39,569","3,288","30,524","11,193","69,621","23,652","97,961","54,130","67,301","37,016","44,741","34,608","36,928","37,022","38,697","35,229","38,234","35,730","34,655","36,021","35,565","45,558","39,927","53,562","44,676","64,764","50,033","70,747","27,828","53,081","20,797","41,617","16,033","51,987","12,389","47,595","5,778","24,465",812,"6,445",5,285,0,0,0,0,2024-06-03 09:43:48
2024-05,2호선,0234,신도림,"3,885",19,"38,985","5,134","56,889","21,751","139,521","47,700","151,591","110,637","97,381","77,607","68,342","65,051","66,289","67,701","73,827","69,427","77,049","75,222","77,115","71,189","81,117","81,389","88,220","94,694","110,507","123,014","126,058","179,609","76,616","124,242","71,797","78,713","58,689","73,703","53,630","71,501","25,254","53,720","3,096","23,953",11,"3,273",0,0,0,0,2024-06-03 09:43:48
2024-05,2호선,0235,문래,32,0,"4,470","2,672","15,465","11,186","44,880","40,057","52,709","134,731","30,329","63,111","23,294","28,536","22,406","24,244","27,683","27,415","27,669","29,103","27,870","27,395","30,445","29,075","37,185","33,502","63,174","42,798","111,314","63,505","40,060","42,337","29,182","24,332","32,334","21,731","24,063","19,721","12,216","11,884","2,128","4,349",1,47,0,0,0,0,2024-06-03 09:43:48
2024-05,2호선,0236,영등포구청,41,4,"5,515","3,979","13,915","18,203","40,791","40,309","50,718","125,660","32,801","54,882","25,343","28,470","26,331","26,637","29,249","27,836","30,486","30,099","31,143","27,215","35,066","28,897","40,994","32,865","59,109","41,155","100,914","58,808","39,518","38,932","29,932","24,979","27,374","23,132","20,216","20,705","9,575","14,054","1,669","5,488",3,71,0,0,0,0,2024-06-03 09:43:48
2024-05,2호선,0237,당산,46,0,"7,535","3,993","17,455","13,526","45,968","30,184","56,546","76,632","36,555","33,745","27,074","18,984","25,542","18,146","26,108","20,484","25,016","23,069","22,238","23,718","24,110","28,511","28,669","34,389","42,802","50,974","57,772","74,171","27,087","49,657","21,744","34,165","21,666","34,137","18,887","32,204","9,466","20,948","1,533","5,859",4,107,0,1,0,0,2024-06-03 09:43:48
